country_id,year,indicator_id,indicator_name,source_code,domain,value,unit,frequency,lag_class,direction_good,source,quality_tier,quality_flag,updated_at
AUS,2000,ACCESS_ELECTRICITY,Access to electricity,EG.ELC.ACCS.ZS,infrastructure,100.0,percent_population,annual,medium,up,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,AI_GOVERNANCE_INDEX,AI governance index seed,DERIVED.AI.SEED,fiscal,81.512270,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2000,CO2_PC,CO2 emissions (metric tons per capita),OWID.CO2_PER_CAPITA,fiscal,18.288000,percent_gdp,annual,short,up,OWID,Tier2,fallback_external,2026-02-15T09:14:45.191258+00:00
AUS,2000,COFOG_DEF_SHARE,Defense share of government spending proxy,DERIVED.COFOG.DEF,fiscal,9.858759,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,COFOG_HEALTH_SHARE,Health share of government spending proxy,DERIVED.COFOG.HEALTH,fiscal,40.000000,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,COFOG_SOCIAL_SHARE,Social protection share proxy,DERIVED.COFOG.SOCIAL,fiscal,43.300000,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,CONTROL_CORRUPTION,Control of corruption estimate,CC.EST,governance,1.86208832263947,index_-2_5_to_2_5,annual,short,up,WGI,Tier1,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,CURRENT_ACCOUNT,Current account balance,BN.CAB.XOKA.GD.ZS,macro,-3.71484792517268,percent_gdp,annual,short,target_band,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,CYBER_PRESSURE_INDEX,Cyber pressure index seed,DERIVED.CYBER.SEED,fiscal,47.572272,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2000,DEBT_GDP,General government gross debt,GC.DOD.TOTL.GD.ZS,fiscal,29.4708236736698,percent_gdp,annual,short,down,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,DISASTER_AFFECTED,People affected by disasters proxy (per 100k),DERIVED.DISASTER.PROXY,fiscal,418.673194,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,DONATION_DISCLOSURE,Donation disclosure strictness proxy,DERIVED.PF.DISC,fiscal,82.943151,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,DONATION_LIMITS,Donation limits strictness proxy,DERIVED.PF.LIMITS,fiscal,83.333935,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,FDI_NET,Fdi net inflows,BX.KLT.DINV.WD.GD.ZS,external,3.57229745403377,percent_gdp,annual,medium,target_band,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,FOREST_AREA,Forest area,AG.LND.FRST.ZS,environment,17.1581557606446,percent_land,annual,long,up,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,FREEDOM_PROXY,Voice and accountability proxy,VA.EST,rights,1.47130513191223,index_-2_5_to_2_5,annual,medium,up,WGI,Tier2,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,FX_RESERVES_MONTHS,Reserves in months imports,FI.RES.TOTL.MO,external,2.06379898799533,months_imports,annual,short,up,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,GDP_GROWTH,GDP growth annual,NY.GDP.MKTP.KD.ZG,macro,3.9160574881715,percent,annual,short,up,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,GDP_PC_PPP,GDP per capita PPP,NY.GDP.PCAP.PP.KD,macro,45099.0752097084,constant_ppp,annual,medium,up,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,GGEXP_GDP,General government expenditure proxy (gov final consumption),NE.CON.GOVT.ZS,fiscal,18.5054297476964,percent_gdp,annual,short,mixed,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2000,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.29835970252002e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2000,GOV_EFFECTIVENESS,Government effectiveness estimate,GE.EST,safety,1.73217022418976,index_-2_5_to_2_5,annual,medium,up,WGI,Tier1,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,HEALTH_EXP_GDP,Current health expenditure,SH.XPD.CHEX.GD.ZS,health,7.58869076,percent_gdp,annual,medium,up,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,HOMICIDE_RATE,Intentional homicides,VC.IHR.PSRC.P5,safety,1.89207133777963,per_100k,annual,short,down,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,INFLATION_CPI,Inflation CPI,FP.CPI.TOTL.ZG,fiscal,4.45743514797224,percent,annual,short,target_band,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,INTPAY_GDP,Interest payments on debt proxy,GC.XPN.INTP.RV.ZS,fiscal,6.09310644148369,percent_revenue,annual,short,down,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2000,LIFE_EXPECTANCY,Life expectancy at birth,SP.DYN.LE00.IN,health,79.2341463414634,years,annual,long,up,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,MIL_EXP_GDP,Military expenditure share,MS.MIL.XPND.GD.ZS,defense,1.8244056794188,percent_gdp,annual,short,target_band,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,NET_MIGRATION,Net migration,SM.POP.NETM,external,111186.0,persons,annual,medium,target_band,World Bank,Tier3,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,OBS_SCORE,Open Budget Survey score proxy,DERIVED.OBS.PROXY,fiscal,85.502314,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,OOPEXP_SHARE,Out-of-pocket health spending share,SH.XPD.OOPC.CH.ZS,health,20.99713898,percent_health_spend,annual,short,down,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,PM25,PM2.5 exposure,EN.ATM.PM25.MC.M3,environment,7.45743282688833,microgram_per_m3,annual,medium,down,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,PUBLIC_FINANCING_SHARE,Public party financing share proxy,DERIVED.PF.PUBLIC,fiscal,40.207308,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,REG_QUALITY,Regulatory quality,RQ.EST,governance,1.57561349868774,index_-2_5_to_2_5,annual,medium,up,WGI,Tier2,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,RENEWABLE_ENERGY,Renewable energy consumption,EG.FEC.RNEW.ZS,environment,8.4,percent_total_final_energy,annual,medium,up,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,ROAD_DEATHS,Road traffic mortality,SH.STA.TRAF.P5,infrastructure,9.9,per_100k,annual,medium,down,World Bank,Tier3,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,RULELAW_PROXY,Rule of law proxy,RL.EST,rights,1.72206687927246,index_-2_5_to_2_5,annual,medium,up,WGI,Tier1,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,RULE_OF_LAW,Rule of law estimate,RL.EST,safety,1.72206687927246,index_-2_5_to_2_5,annual,medium,up,WGI,Tier1,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2000,SIPRI_MILEX,Military expenditure proxy (USD bn index),DERIVED.SIPRI.PROXY,fiscal,63.854199,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,SURVEILLANCE_STRICTNESS,Surveillance strictness seed,DERIVED.SURV.SEED,fiscal,44.643474,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2000,TRADE_OPENNESS,Trade as share of GDP,NE.TRD.GNFS.ZS,macro,40.8631257691954,percent_gdp,annual,short,target_band,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,TRADE_PRESSURE_INDEX,Trade pressure index seed,DERIVED.TRADE.SEED,fiscal,46.686726,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2000,UHC_INDEX,UHC service coverage proxy index,DERIVED.UHC.PROXY,fiscal,79.487873,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2000,UNEMPLOYMENT,Unemployment rate,SL.UEM.TOTL.ZS,fiscal,6.288,percent,annual,short,down,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2000,VOICE_ACCOUNTABILITY,Voice and accountability,VA.EST,governance,1.47130513191223,index_-2_5_to_2_5,annual,medium,up,WGI,Tier2,verified_source,2026-02-15T09:14:45.191258+00:00
AUS,2001,ACCESS_ELECTRICITY,Access to electricity,EG.ELC.ACCS.ZS,infrastructure,100.0,percent_population,annual,medium,up,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2001,AI_GOVERNANCE_INDEX,AI governance index seed,DERIVED.AI.SEED,fiscal,50.000000,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2001,CO2_PC,CO2 emissions (metric tons per capita),OWID.CO2_PER_CAPITA,fiscal,18.469000,percent_gdp,annual,short,up,OWID,Tier2,fallback_external,2026-02-15T09:14:45.191258+00:00
AUS,2001,COFOG_DEF_SHARE,Defense share of government spending proxy,DERIVED.COFOG.DEF,fiscal,10.066330,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2001,COFOG_HEALTH_SHARE,Health share of government spending proxy,DERIVED.COFOG.HEALTH,fiscal,40.000000,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2001,COFOG_SOCIAL_SHARE,Social protection share proxy,DERIVED.COFOG.SOCIAL,fiscal,42.775000,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2001,CURRENT_ACCOUNT,Current account balance,BN.CAB.XOKA.GD.ZS,macro,-2.09983536268172,percent_gdp,annual,short,target_band,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2001,CYBER_PRESSURE_INDEX,Cyber pressure index seed,DERIVED.CYBER.SEED,fiscal,45.149753,percent_gdp,annual,short,up,Derived,TierG,derived_seed,2026-02-15T09:14:45.191258+00:00
AUS,2001,DEBT_GDP,General government gross debt,GC.DOD.TOTL.GD.ZS,fiscal,27.6400889435694,percent_gdp,annual,short,down,World Bank,Tier1,verified_search,2026-02-15T09:14:45.191258+00:00
AUS,2001,DEFICIT_GDP,Fiscal balance proxy (% of GDP),DERIVED.DEFICIT.DYNAMICS,fiscal,-2.269651,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2001,DISASTER_AFFECTED,People affected by disasters proxy (per 100k),DERIVED.DISASTER.PROXY,fiscal,421.109442,percent_gdp,annual,short,up,Derived,Tier3,derived_proxy,2026-02-15T09:14:45.191258+00:00
AUS,2001,FDI_NET,Fdi net inflows,BX.KLT.DINV.WD.GD.ZS,external,2.81762721403267,percent_gdp,annual,medium,target_band,World Bank,Tier2,verified_search,2026-02-15T09:14:45.191258+00:00
